[2022-03-23 12:15:20,533 - INFO]: Listing dataset-rearranged
[2022-03-23 12:15:25,683 - INFO]: Total files listed: 564294
[2022-03-23 12:15:25,701 - INFO]: Start pretreating dataset-rearranged
[2022-03-23 12:15:26,268 - INFO]: Saved 70 valid frames to dataset-pkl/00811/01/180/180.pkl.
[2022-03-23 12:15:26,271 - INFO]: Saved 71 valid frames to dataset-pkl/00811/01/000/000.pkl.
[2022-03-23 12:15:26,436 - INFO]: Saved 88 valid frames to dataset-pkl/00811/01/270/270.pkl.
[2022-03-23 12:15:26,478 - INFO]: Saved 82 valid frames to dataset-pkl/00811/01/090/090.pkl.
[2022-03-23 12:15:26,858 - INFO]: Saved 74 valid frames to dataset-pkl/00811/00/180/180.pkl.
[2022-03-23 12:15:26,971 - INFO]: Saved 85 valid frames to dataset-pkl/00811/00/270/270.pkl.
[2022-03-23 12:15:27,022 - INFO]: Saved 69 valid frames to dataset-pkl/00811/00/000/000.pkl.
[2022-03-23 12:15:27,159 - INFO]: Saved 89 valid frames to dataset-pkl/00811/00/090/090.pkl.
[2022-03-23 12:15:27,576 - INFO]: Saved 74 valid frames to dataset-pkl/00613/01/180/180.pkl.
[2022-03-23 12:15:27,584 - INFO]: Saved 54 valid frames to dataset-pkl/00613/01/000/000.pkl.
[2022-03-23 12:15:27,643 - INFO]: Saved 94 valid frames to dataset-pkl/00613/01/270/270.pkl.
[2022-03-23 12:15:27,747 - INFO]: Saved 86 valid frames to dataset-pkl/00613/01/090/090.pkl.
[2022-03-23 12:15:28,169 - INFO]: Saved 71 valid frames to dataset-pkl/00613/00/180/180.pkl.
[2022-03-23 12:15:28,334 - INFO]: Saved 71 valid frames to dataset-pkl/00613/00/000/000.pkl.
[2022-03-23 12:15:28,334 - INFO]: Saved 88 valid frames to dataset-pkl/00613/00/270/270.pkl.
[2022-03-23 12:15:28,373 - INFO]: Saved 85 valid frames to dataset-pkl/00613/00/090/090.pkl.
[2022-03-23 12:15:28,723 - INFO]: Saved 62 valid frames to dataset-pkl/00553/01/270/270.pkl.
[2022-03-23 12:15:28,792 - INFO]: Saved 50 valid frames to dataset-pkl/00553/01/000/000.pkl.
[2022-03-23 12:15:28,808 - INFO]: Saved 56 valid frames to dataset-pkl/00553/01/180/180.pkl.
[2022-03-23 12:15:28,949 - INFO]: Saved 67 valid frames to dataset-pkl/00553/01/090/090.pkl.
[2022-03-23 12:15:29,260 - INFO]: Saved 55 valid frames to dataset-pkl/00553/00/180/180.pkl.
[2022-03-23 12:15:29,426 - INFO]: Saved 69 valid frames to dataset-pkl/00553/00/090/090.pkl.
[2022-03-23 12:15:29,430 - INFO]: Saved 77 valid frames to dataset-pkl/00553/00/270/270.pkl.
[2022-03-23 12:15:29,453 - INFO]: Saved 57 valid frames to dataset-pkl/01136/01/180/180.pkl.
[2022-03-23 12:15:29,670 - INFO]: Saved 47 valid frames to dataset-pkl/01136/00/000/000.pkl.
[2022-03-23 12:15:29,848 - INFO]: Saved 53 valid frames to dataset-pkl/00720/01/180/180.pkl.
[2022-03-23 12:15:30,000 - INFO]: Saved 67 valid frames to dataset-pkl/00720/01/090/090.pkl.
[2022-03-23 12:15:30,001 - INFO]: Saved 71 valid frames to dataset-pkl/00720/01/270/270.pkl.
[2022-03-23 12:15:30,123 - INFO]: Saved 57 valid frames to dataset-pkl/00720/01/000/000.pkl.
[2022-03-23 12:15:30,440 - INFO]: Saved 71 valid frames to dataset-pkl/00720/00/270/270.pkl.
[2022-03-23 12:15:30,480 - INFO]: Saved 59 valid frames to dataset-pkl/00720/00/180/180.pkl.
[2022-03-23 12:15:30,539 - INFO]: Saved 66 valid frames to dataset-pkl/00720/00/090/090.pkl.
[2022-03-23 12:15:30,575 - INFO]: Saved 56 valid frames to dataset-pkl/00720/00/000/000.pkl.
[2022-03-23 12:15:30,969 - INFO]: Saved 60 valid frames to dataset-pkl/00772/01/180/180.pkl.
[2022-03-23 12:15:30,994 - INFO]: Saved 68 valid frames to dataset-pkl/00772/01/270/270.pkl.
[2022-03-23 12:15:31,018 - INFO]: Saved 60 valid frames to dataset-pkl/00772/01/090/090.pkl.
[2022-03-23 12:15:31,042 - INFO]: Saved 59 valid frames to dataset-pkl/00772/01/000/000.pkl.
[2022-03-23 12:15:31,485 - INFO]: Saved 61 valid frames to dataset-pkl/00772/00/180/180.pkl.
[2022-03-23 12:15:31,516 - INFO]: Saved 59 valid frames to dataset-pkl/00772/00/000/000.pkl.
[2022-03-23 12:15:31,532 - INFO]: Saved 68 valid frames to dataset-pkl/00772/00/270/270.pkl.
[2022-03-23 12:15:31,612 - INFO]: Saved 71 valid frames to dataset-pkl/00772/00/090/090.pkl.
[2022-03-23 12:15:32,032 - INFO]: Saved 56 valid frames to dataset-pkl/00871/01/180/180.pkl.
[2022-03-23 12:15:32,197 - INFO]: Saved 63 valid frames to dataset-pkl/00871/01/000/000.pkl.
[2022-03-23 12:15:32,241 - INFO]: Saved 70 valid frames to dataset-pkl/00871/01/090/090.pkl.
[2022-03-23 12:15:32,250 - INFO]: Saved 78 valid frames to dataset-pkl/00871/01/270/270.pkl.
[2022-03-23 12:15:32,738 - INFO]: Saved 58 valid frames to dataset-pkl/00871/00/180/180.pkl.
[2022-03-23 12:15:32,793 - INFO]: Saved 78 valid frames to dataset-pkl/00871/00/270/270.pkl.
[2022-03-23 12:15:32,837 - INFO]: Saved 64 valid frames to dataset-pkl/00871/00/000/000.pkl.
[2022-03-23 12:15:33,054 - INFO]: Saved 75 valid frames to dataset-pkl/00871/00/090/090.pkl.
[2022-03-23 12:15:33,274 - INFO]: Saved 56 valid frames to dataset-pkl/00367/01/180/180.pkl.
[2022-03-23 12:15:33,373 - INFO]: Saved 74 valid frames to dataset-pkl/00367/01/270/270.pkl.
[2022-03-23 12:15:33,480 - INFO]: Saved 75 valid frames to dataset-pkl/00367/01/090/090.pkl.
[2022-03-23 12:15:33,691 - INFO]: Saved 77 valid frames to dataset-pkl/00367/00/270/270.pkl.
[2022-03-23 12:15:33,881 - INFO]: Saved 71 valid frames to dataset-pkl/00367/00/090/090.pkl.
[2022-03-23 12:15:34,015 - INFO]: Saved 66 valid frames to dataset-pkl/00367/00/000/000.pkl.
[2022-03-23 12:15:34,267 - INFO]: Saved 89 valid frames to dataset-pkl/00789/01/270/270.pkl.
[2022-03-23 12:15:34,368 - INFO]: Saved 78 valid frames to dataset-pkl/00789/01/180/180.pkl.
[2022-03-23 12:15:34,624 - INFO]: Saved 69 valid frames to dataset-pkl/00789/01/000/000.pkl.
[2022-03-23 12:15:34,694 - INFO]: Saved 94 valid frames to dataset-pkl/00789/01/090/090.pkl.
